Title,cast_and_crew
The Mitchells vs. the Machines,"Mike Rianda (director/screenplay); Jeff Rowe (co-director/screenplay); Abbi Jacobson, Danny McBride, Maya Rudolph, Mike Rianda, Olivia Colman, Eric Andre, Fred Armisen, Beck Bennett, John Legend, Chrissy Teigen, Blake Griffin, Conan O'Brien"
Vanquish,"George Gallo (director); Samuel Bartlett (screenplay); Ruby Rose, Morgan Freeman"
Together Together,"Nikole Beckwith (director/screenplay); Ed Helms, Patti Harrison, Tig Notaro"
We Broke Up,"Jeff Rosenberg (director/screenplay); Laura Jacqmin (screenplay); William Jackson Harper, Aya Cash"
The Deep Ones,"Chad Ferrin (director/screenplay); Gina La Piana, Robert Miano, Johann Urb, Silvia Spross, Jackie Debatin, Nicolas Coster"
Things Heard & Seen,"Shari Springer Berman and Robert Pulcini (director/screenplay); Amanda Seyfried, James Norton, Natalia Dyer, F. Murray Abraham"
Without Remorse,"Stefano Sollima (director); Taylor Sheridan, Will Staples (screenplay); Michael B. Jordan, Jamie Bell, Jodie Turner-Smith, Lauren London, Brett Gelman, Jacob Scipio, Jack Kesy, Colman Domingo, Guy Pearce"
The Virtuoso,"Nick Stagliano (director/screenplay); James C. Wolf (screeplay); Anson Mount, Abbie Cornish, Eddie Marsan, David Morse, Anthony Hopkins"
Four Good Days,"Rodrigo García (director/screenplay); Eli Saslow (screenplay); Glenn Close, Mila Kunis, Stephen Root"
Separation,"William Brent Bell (director); Nick Amadeus, Josh Braun (screenplay); Rupert Friend, Mamie Gummer, Violet McGraw, Brian Cox"
The Resort,"Taylor Chien (director/screenplay); Brock O'Hurn, Avery Pascual, Michael Vlamis, Michelle Randolph, Bianca Haase"
Wrath of Man,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, DeObia Oparei, Eddie Marsan, Scott Eastwood, Andy García"
Monster,"Anthony Mandler (director); Radha Blank, Cole Wiley, Janece Shaffer (screenplay); Kelvin Harrison Jr., Jennifer Ehle, Tim Blake Nelson, Nasir ""Nas"" Jones, Rakim ""A$AP Rocky"" Mayers, Paul Ben-Victor, John David Washington, Jennifer Hudson, Jeffrey Wright"
The Paper Tigers,"Tran Quoc Bao (director/screenplay); Alain Uy, Ron Yuan, Mykel Shannon Jenkins"
Mainstream,"Gia Coppola (director/screenplay); Tom Stuart (screenplay); Andrew Garfield, Maya Hawke, Nat Wolff, Johnny Knoxville, Jason Schwartzman"
The Water Man,"David Oyelowo (director); Emma Needell (screenplay); David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello"
Here Today,"Billy Crystal (director/screenplay); Alan Zweibel (screenplay); Billy Crystal, Tiffany Haddish, Penn Badgley, Laura Benanti, Louisa Krause"
Above Suspicion,"Phillip Noyce (director); Chris Gerolmo (screenplay); Jack Huston, Emilia Clarke, Thora Birch, Johnny Knoxville"
Reboot Camp,"Ivo Raza (director/screenplay); David Koechner, Ed Begley Jr., Chaz Bono, Ja Rule, Shar Jackson, Eric Roberts"
Benny Loves You,"Karl Holt (director/screenplay); Karl Holt, Claire Cartwright, David Wayman, George Collie, James Parsons, Lydia Hourihan"
Oxygen,"Alexandre Aja (director); Christine LeBlanc (screenplay); Mélanie Laurent, Mathieu Amalric, Malik Zidi"
Army of the Dead,"Zack Snyder (director/screenplay); Shay Hatten, Joby Harold (screenplay); Dave Bautista, Ella Purnell, Omari Hardwick, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Garret Dillahunt"
Those Who Wish Me Dead,"Taylor Sheridan (director/screenplay); Michael Koryta, Charles Leavitt (screenplay); Angelina Jolie, Nicholas Hoult, Finn Little, Aidan Gillen, Jake Weber, Medina Senghore, Jon Bernthal"
The Woman in the Window,"Joe Wright (director); Tracy Letts (screenplay); Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Julianne Moore"
Spiral,"Darren Lynn Bousman (director); Josh Stolberg, Pete Goldfinger (screenplay); Chris Rock, Max Minghella, Marisol Nichols, Samuel L. Jackson"
Georgetown,"Christoph Waltz (director); David Auburn (screenplay); Christoph Waltz, Vanessa Redgrave, Annette Bening, Corey Hawkins"
Finding You,"Brian Baugh (director/screenplay); Rose Reid, Jedidiah Goodacre, Katherine McNamara, Patrick Bergin, Saoirse-Monica Jackson, Judith Hoag, Tom Everett Scott, Vanessa Redgrave"
The Killing of Two Lovers,"Robert Machoian (director/screenplay); Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto, Arri Graham, Ezra Graham"
616 Wilford Lane,"Mark S. Allen, Dante Yore (director/screenplay); Howard Burd (screenplay); John Littlefield, Eric Roberts, Alyson Gorske, Stevonte Hart, Eliza Roberts"
Dream Horse,"Euros Lyn (director); Neil McKay (screenplay); Toni Collette, Damian Lewis, Owen Teale, Joanna Page, Karl Johnson, Steffan Rhodri, Anthony O'Donnell, Nicholas Farrell, Siân Phillips"
Blast Beat,"Esteban Arango (director/screenplay); Erick Castrillon (screenplay); Moisés Arias, Mateo Arias, Daniel Dae Kim, Kali Uchis, Ashley Jackson, Diane Guerrero, Wilmer Valderrama"
A Quiet Place Part II,"John Krasinski (director/screenplay); Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski"
Cruella,"Craig Gillespie (director); Dana Fox, Tony McNamara (screenplay); Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste, Mark Strong"
Plan B,"Natalie Morales (director); Prathi Srinivasan, Joshua Levy (screenplay); Kuhoo Verma, Victoria Moroles"
Changing the Game,"Michael Barnett (director/screenplay); Amanda C. Griffin, Michael Mahaffie (screenplay); Mack Beggs, Sarah Rose Huckman, Terry Miller, Ngozi Nnaji, Andraya Yearwood"
Spirit Untamed,"Elaine Bogan, Ennio Torresan (directors); Aury Wallington (screenplay); Isabela Merced, Marsai Martin, Mckenna Grace, Julianne Moore, Jake Gyllenhaal, Walton Goggins, Eiza González"
The Conjuring: The Devil Made Me Do It,"Michael Chaves (director); David Leslie Johnson-McGoldrick (screenplay); Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook, Julian Hilliard"
Gully,"Nabil Elderkin (director); Marcus J. Guillory (screenplay); Jacob Latimore, Charlie Plummer, Jonathan Majors, Kelvin Harrison Jr., Amber Heard, Terrence Howard"
Flashback,"Christopher MacBride (director/screenplay); Dylan O'Brien, Maika Monroe, Hannah Gross, Emory Cohen, Keir Gilchrist"
Under the Stadium Lights,"Todd Randall (director); John Collins, Hamid Torabpour (screenplay); Milo Gibson, Laurence Fishburne, Glenn Morshower, Noel Gugliemi"
Grace and Grit,"Sebastian Siegel (director/screenplay); Mena Suvari, Stuart Townsend, Frances Fisher, Rebekah Graf, Mariel Hemingway, Nick Stahl"
Awake,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows"
In the Heights,"Jon M. Chu (director); Quiara Alegría Hudes (screenplay); Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Stephanie Beatriz, Dascha Polanco, Jimmy Smits, Lin-Manuel Miranda"
Infinite,"Antoine Fuqua (director); Ian Shorr (screenplay); Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend, Toby Jones, Dylan O'Brien"
Peter Rabbit 2: The Runaway,"Will Gluck (director/screenplay); Patrick Burleigh (screenplay); James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki, Lennie James, David Oyelowo"
Wish Dragon,"Chris Appelhans (director/screenplay); Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang, Aaron Yoo, Will Yun Lee, Bobby Lee, Nico Santos, Ronny Chieng"
The Misfits,"Renny Harlin (director); Robert Henny, Kurt Wimmer (screenplay); Pierce Brosnan, Rami Jaber, Hermione Corfield, Jamie Chung, Mike d Angelo, Tim Roth, Nick Cannon"
12 Mighty Orphans,"Ty Roberts (director/screenplay); Lane Garrison, Kevin Meyer (screenplay); Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen"
The House Next Door: Meet the Blacks 2,"Deon Taylor (director/screenplay); Corey Harrell (screenplay); Mike Epps, Katt Williams, Bresha Webb, Lil Duval, Zulay Henao, Tyrin Turner, Michael Blackson, Andrew Bachelor, Gary Owen, Danny Trejo"
Queen Bees,"Michael Lembeck (director); Donald Martin (screenplay); Ellen Burstyn, James Caan, Ann-Margret, Jane Curtin, Christopher Lloyd, Loretta Devine"
DOMINO: Battle of the Bones,"Baron Davis, Carl Reid, Steven V. Vasquez Jr. (directors); Baron Davis, Carl Reid, Pamela Azmi-Andrew (screenplay); David Arquette, Snoop Dogg, Tom Lister Jr., Carlito Olivero"
Hitman's Wife's Bodyguard,"Patrick Hughes (director); Tom O'Connor, Brandon Murphy, Phillip Murphy (screenplay); Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Frank Grillo, Richard E. Grant, Antonio Banderas, Morgan Freeman"
Luca,"Enrico Casarosa (director); Mike Jones, Jesse Andrews (screenplay); Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Marco Baricelli, Jim Gaffigan, Peter Sohn, Lorenzo Crisci, Marina Massironi, Sandy Martin"
Fatherhood,"Paul Weitz (director/screenplay); Dana Stevens (screenplay); Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Anthony Carrigan, Melody Hurd, Paul Reiser"
The Birthday Cake,"Jimmy Giannopoulos (director/screenplay); Diomedes Raul Bermudez, Shiloh Fernandez (screenplay); Shiloh Fernandez, Val Kilmer, Ewan McGregor, Ashley Benson, Lorraine Bracco, David Mazouz"
Rita Moreno: Just a Girl Who Decided to Go for It,"Mariem Pérez Riera (director/screenplay); Rita Moreno, Eva Longoria, George Chakiris, Gloria Estefan, Héctor Elizondo, Karen Olivo, Justina Machado, Lin-Manuel Miranda, Mitzi Gaynor, Morgan Freeman, Norman Lear, Terrence McNally, Whoopi Goldberg"
The Sparks Brothers,"Edgar Wright (director/screenplay); Ron Mael, Russell Mael"
Truman & Tennessee: An Intimate Conversation,"Lisa Immordino Vreeland (director/screenplay); Jim Parsons, Zachary Quinto"
Stalker,"Tyler Savage (director/screenplay); Dash Hawkins (screenplay); Christine Ko, Vincent van Horn, Michael Joplin, Dusty Sorg, Carla Valentine, Scott Subiono"
Love Spreads,"Jamie Adams (director/screenplay); Alia Shawkat, Eiza González, Chanel Cresswell, Nick Helm, Dolly Wells, Tara Lee"
A Crime on the Bayou,"Nancy Buirski (director/screenplay); Gary Duncan, Richard Sobol"
Good on Paper,"Kimmy Gatewood (director); Iliza Shlesinger (screenplay); Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse"
F9,"Justin Lin (director/screenplay); Daniel Casey (screenplay); Vin Diesel, John Cena, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Jordana Brewster, Nathalie Emmanuel, Sung Kang, Michael Rooker, Helen Mirren, Kurt Russell, Charlize Theron"
The Ice Road,"Jonathan Hensleigh (director/screenplay); Liam Neeson, Benjamin Walker, Amber Midthunder, Marcus Thomas, Holt McCallany, Martin Sensmeier, Matt McCoy, Matt Salinger, Laurence Fishburne"
Werewolves Within,"Josh Ruben (director); Mishna Wolff (screenplay); Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns, Michael Chernus, Catherine Curtin, Harvey Guillén, Cheyenne Jackson, Michaela Watkins, Glenn Fleshler"
False Positive,"John Lee (director/screenplay); Ilana Glazer (screenplay); Ilana Glazer, Justin Theroux, Sophia Bush, Josh Hamilton, Pierce Brosnan"
Lansky,"Eytan Rockaway (director/screenplay); Harvey Keitel, Sam Worthington, AnnaSophia Robb, Minka Kelly, David James Elliott, John Magaro"
I Carry You with Me,"Heidi Ewing (director/screenplay); Alan Page Arriaga (screenplay); Armando Espitia, Christian Vázquez, Michelle Rodríguez, Ángeles Cruz, Arcelia Ramírez, Michelle González"
Mary J. Blige's My Life,"Vanessa Roth (director/screenplay); Mary J. Blige, Taraji P. Henson, Alicia Keys, Sean Combs"
Fathom,"Drew Xanthopoulos (director/screenplay); Michelle Fournet, Ellen Garland"
Rollers,"Isaiah Smallman (director); Johnny Ray Gill, Kate Cobb, Vicky Jeudy, Kevin Bigley"
America: The Motion Picture,"Matt Thompson (director); Dave Callaham (screenplay); Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg, Andy Samberg"
Zola,"Janicza Bravo (director/screenplay); Jeremy O. Harris (screenplay); Taylour Paige, Riley Keough, Nicholas Braun, Ari'el Stachel, Colman Domingo"
No Sudden Move,"Steven Soderbergh (director); Ed Solomon (screenplay); Don Cheadle, Benicio del Toro, David Harbour, Jon Hamm, Amy Seimetz, Brendan Fraser, Kieran Culkin, Noah Jupe, Craig Grant, Julia Fox, Frankie Shaw, Ray Liotta, Bill Duke"
The Tomorrow War,"Chris McKay (director); Zach Dean (screenplay); Chris Pratt, Yvonne Strahovski, J. K. Simmons, Betty Gilpin, Sam Richardson, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Keith Powers"
The Boss Baby: Family Business,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt, Jeff Goldblum, Eva Longoria, Jimmy Kimmel, Lisa Kudrow"
The Forever Purge,"Everardo Gout (director); James DeMonaco (screenplay); Ana de la Reguera, Tenoch Huerta, Josh Lucas, Cassidy Freeman, Leven Rambin, Alejandro Edda, Will Patton"
Fear Street Part One: 1994,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald, Fred Hechinger, Ashley Zukerman, Darrell Britt-Gibson, Maya Hawke, Jordana Spiro, Jordyn DiNatale"
Summer of Soul,"Questlove (director); Stevie Wonder, Nina Simone, Sly and the Family Stone, Gladys Knight & the Pips, Mahalia Jackson, B.B. King, The 5th Dimension"
Till Death,"S.K. Dale (director); Jason Carvey (screenplay); Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth, Aml Ameen"
Let Us In,"Craig Moss (director/screenplay); Joe Callero (screenplay); Mackenzie Moss, Sadie Stanley, Mackenzie Ziegler, Siena Agudong, Tobin Bell"
Black Widow,"Cate Shortland (director); Eric Pearson (screenplay); Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Olga Kurylenko, William Hurt, Ray Winstone, Rachel Weisz"
Fear Street Part Two: 1978,"Leigh Janiak (director/screenplay); Zak Olkewikz (screenplay); Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye, Ted Sutherland, Jordana Spiro, Gillian Jacobs, Kiana Madeira, Benjamin Flores Jr., Ashley Zukerman, Olivia Scott Welch, Jordyn DiNatale"
Summertime,"Carlos López Estrada (director); Dave Harris (screenplay); Tyris Winter, Marquesha Babers, Maia Mayor, Austin Antoine, Bryce Banks"
Gunpowder Milkshake,"Navot Papushado (director/screenplay); Ehud Lavski (screenplay); Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh, Angela Bassett, Paul Giamatti"
Space Jam: A New Legacy,"Malcolm D. Lee (director); Juel Taylor, Tony Rettenmaier, Keenan Coogler, Terence Nance, Jesse Gordon, Celeste Ballard (screenplay); LeBron James, Don Cheadle, Khris Davis, Sonequa Martin-Green, Cedric Joe, Jeff Bergman, Eric Bauza, Zendaya"
Escape Room: Tournament of Champions,"Adam Robitel (director); Will Honley, Maria Melnik, Daniel Tuch, Oren Uziel (screenplay); Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel, Carlito Olivero, Isabelle Fuhrman"
Fear Street Part Three: 1666,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Fred Hechinger, Julia Rehwald, Sadie Sink, Emily Rudd, McCabe Slye, Jordana Spiro, Jordyn DiNatale"
Die in a Gunfight,"Colin Schiffli (director); Andrew Barrer, Gabriel Ferrari (screenplay); Alexandra Daddario, Diego Boneta, Justin Chatwin, Wade Allain-Marcus, Billy Crudup, Emmanuelle Chriqui, Travis Fimmel"
Pig,"Michael Sarnoski (director/screenplay); Nicolas Cage, Alex Wolff, Adam Arkin"
Out of Death,"Mike Burns (director); Bill Lawrence (screenplay); Bruce Willis, Jaime King, Lala Kent"
Roadrunner: A Film About Anthony Bourdain,Morgan Neville (director/screenplay); Caitrin Rogers (screenplay); Anthony Bourdain
How It Ends,"Daryl Wein, Zoe Lister-Jones (director/screenplay); Zoe Lister-Jones, Cailee Spaeny, Olivia Wilde, Fred Armisen, Helen Hunt, Lamorne Morris, Nick Kroll"
Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco (directors); Guillermo del Toro, Marc Guggenheim, The Hageman Brothers (screenplay); Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Colin O'Donoghue, Diego Luna, Tatiana Maslany, Steven Yeun, Cole Sand, Alfred Molina, Nick Frost, Nick Offerman"
Snake Eyes,"Robert Schwentke (director); Evan Spiliotopoulos, Joe Shrapnel, Anna Waterhouse (screenplay); Henry Golding, Andrew Koji, Úrsula Corberó, Samara Weaving, Iko Uwais, Haruka Abe, Takehiro Hira, Peter Mensah"
Old,"M. Night Shyamalan (director/screenplay); Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff, Thomasin McKenzie, Abbey Lee, Nikki Amuka-Bird, Ken Leung, Eliza Scanlen, Aaron Pierre, Embeth Davidtz, Emun Elliott"
Joe Bell,"Reinaldo Marcus Green (director); Diana Ossana, Larry McMurtry (screenplay); Mark Wahlberg, Reid Miller, Connie Britton, Gary Sinise"
Jolt,"Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale, Bobby Cannavale, Laverne Cox, Stanley Tucci, Jai Courtney, Susan Sarandon"
Midnight in the Switchgrass,"Randall Emmett (director); Alan Horsnail (screenplay); Megan Fox, Bruce Willis, Emile Hirsch, Machine Gun Kelly, Lukas Haas"
Broken Diamonds,"Peter Sattler (director); Steve Waverly (screenplay); Ben Platt, Lola Kirke, Yvette Nicole Brown, Alphonso McAuley, Lynda Boyd"
Val,"Leo Scott, Ting Poo (directors); Val Kilmer"
Ailey,Jamila Wignot (director)
Jungle Cruise,"Jaume Collet-Serra (director); Michael Green, Glenn Ficarra, John Requa (screenplay); Dwayne Johnson, Emily Blunt, Édgar Ramírez, Jack Whitehall, Jesse Plemons, Paul Giamatti"
Vivo,"Kirk DeMicco (director); Quiara Alegría Hudes (screenplay); Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos González, Michael Rooker, Brian Tyree Henry, Nicole Byer, Gloria Estefan"
Stillwater,"Tom McCarthy (director/screenplay); Marcus Hinchey, Thomas Bidegain, Noé Debré (screenplay); Matt Damon, Camille Cottin, Abigail Breslin"
The Green Knight,"David Lowery (director/screenplay); Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury, Sean Harris, Ralph Ineson, Barry Keoghan, Erin Kellyman, Kate Dickie"
Nine Days,"Edson Oda (director/screenplay); Winston Duke, Zazie Beetz, Benedict Wong, Tony Hale, Bill Skarsgård"
Ride the Eagle,"Trent O'Donnell (director/screenplay); Jake Johnson (screenplay); Jake Johnson, D'Arcy Carden, J.K. Simmons, Susan Sarandon"
The Evening Hour,"Braden King (director); Elizabeth Palmore (screenplay); Philip Ettinger, Stacy Martin, Cosmo Jarvis, Michael Trotter, Kerry Bishé, Lili Taylor"
Lorelei,"Sabrina Doyle (director/screenplay); Pablo Schreiber, Jena Malone"
Enemies of the State,Sonia Kennebeck (director)
The Suicide Squad,"James Gunn (director/screenplay); Idris Elba, Margot Robbie, John Cena, Joel Kinnaman, Sylvester Stallone, Viola Davis, David Dastmalchian, Daniela Melchior, Michael Rooker, Jai Courtney, Peter Capaldi, Alice Braga, Pete Davidson, Nathan Fillion, Sean Gunn, Flula Borg, Mayling Ng"
Naked Singularity,"Chase Palmer (director/screenplay); David Matthews (screenplay); John Boyega, Olivia Cooke, Bill Skarsgård, Ed Skrein, Linda Lavin, Tim Blake Nelson"
John and the Hole,"Pascual Sisto (director); Nicolás Giacobone (screenplay); Charlie Shotwell, Michael C. Hall, Jennifer Ehle, Taissa Farmiga"
Playing God,"Scott Brignac (director/screenplay); Hannah Kasulka, Luke Benward, Jude Demorest, Marc Menchaca, Alan Tudyk, Michael McKean"
Swan Song,"Todd Stephens (director/screenplay); Udo Kier, Jennifer Coolidge, Linda Evans, Michael Urie, Ira Hawkins, Stephanie McVay"
She Ball,"Nick Cannon (director/screenplay); Glenda L. Richardson (screenplay); Nick Cannon, Chris Brown, Jaliyuh Manuel, K.D. Aubert, Rebecca De Mornay, Tammy Brawner, Evan Ross"
The Kissing Booth 3,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Molly Ringwald"
Homeroom,Peter Nicks (director)
Free Guy,"Shawn Levy (director); Matt Lieberman, Zak Penn (screenplay); Ryan Reynolds, Jodie Comer, Lil Rel Howery, Utkarsh Ambudkar, Joe Keery, Taika Waititi"
Respect,"Liesl Tommy (director); Tracey Scott Wilson (screenplay); Jennifer Hudson, Forest Whitaker, Marlon Wayans, Audra McDonald, Marc Maron, Tituss Burgess, Mary J. Blige"
Beckett,"Ferdinando Cito Filomarino (director); Kevin A. Rice (screenplay); John David Washington, Boyd Holbrook, Vicky Krieps, Alicia Vikander"
Don't Breathe 2,"Rodo Sayagues (director/screenplay); Fede Álvarez (screenplay); Stephen Lang, Brendan Sexton III, Madelyn Grace"
CODA,"Sian Heder (director/screenplay); Emilia Jones, Eugenio Derbez, Troy Kotsur, Ferdia Walsh-Peelo, Daniel Durant, Marlee Matlin"
Not Going Quietly,Nicholas Bruckman (director/screenplay); Amanda Roddy (screenplay)
PAW Patrol: The Movie,"Cal Brunker (director); Cal Brunker, Bob Barlen, Billy Frolick (screenplay); Iain Armitage, Marsai Martin, Ron Pardo, Yara Shahidi, Kim Kardashian West, Randall Park, Dax Shepard, Tyler Perry, Jimmy Kimmel, Will Brisbin"
Reminiscence,"Lisa Joy (director/screenplay); Hugh Jackman, Rebecca Ferguson, Thandiwe Newton, Cliff Curtis, Marina de Tavira, Daniel Wu"
The Protégé,"Martin Campbell (director); Richard Wenk (screenplay); Michael Keaton, Maggie Q, Samuel L. Jackson, Robert Patrick"
Sweet Girl,"Brian Andrew Mendoza (director); Philip Eisner, Gregg Hurwitz (screenplay); Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James, Adria Arjona, Amy Brenneman"
The Loud House Movie,"Dave Needham (director); Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek, Catherine Taber, Liliana Mumy, Nika Futterman, Cristina Pucelli, Jessica DiCicco, Grey Griffin, Lara Jill Miller, Katy Townsend, Andre Robinson"
The Night House,"David Bruckner (director); Ben Collins, Luke Piotrowski (screenplay); Rebecca Hall, Sarah Goldberg, Evan Jonigkeit, Stacy Martin, Vondie Curtis-Hall"
Flag Day,"Sean Penn (director); Jez Butterworth, John-Henry Butterworth (screenplay); Dylan Penn, Sean Penn, Katheryn Winnick, Eddie Marsan, Josh Brolin, Regina King"
Cryptozoo,"Dash Shaw (director/screenplay); Lake Bell, Michael Cera, Angeliki Papoulia, Zoe Kazan, Peter Stormare, Grace Zabriskie, Louisa Krause, Thomas Jay Ryan, Alex Karpovsky"
Habit,"Janell Shirtcliff (director); Suki Kaiser (screenplay); Josie Ho, Bella Thorne, Gavin Rossdale, Hana Mae Lee, Paris Jackson"
Demonic,"Neill Blomkamp (director/screenplay); Carly Pope, Chris William Martin, Michael Rogers, Nathalie Boltt, Terry Chen"
Risen,"Eddie Arya (director/screenplay); Caroline McQuade, Kenneth Trujillo, Wassim Hawat, Buffy Anne Littaua, Nicole Sharrock, Melissa Brattoni, Anthony Moisset, Marcus Johnson"
The Witcher: Nightmare of the Wolf,"Kwang Il Han (director); Beau DeMayo (screenplay); Theo James, Lara Pulver, Graham McTavish, Mary McDonnell"
Really Love,"Angel Kristi Williams (director/screenplay); Felicia Pride (screenplay); Kofi Siriboe, Yootha Wong-Loi-Sing, Blair Underwood, Uzo Aduba, Tristan Wilds"
Candyman,"Nia DaCosta (director/screenplay); Jordan Peele, Win Rosenfeld (screenplay); Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett, Colman Domingo, Kyle Kaminsky, Vanessa Estelle Williams"
Vacation Friends,"Clay Tarver (director/screenplay); Tom Mullen, Tim Mullen, Jonathan Goldstein, John Francis Daley (screenplay); John Cena, Lil Rel Howery, Yvonne Orji, Meredith Hagner, Lynn Whitfield, Andrew Bachelor"
He's All That,"Mark Waters (director); R. Lee Fleming (screenplay); Addison Rae, Tanner Buchanan, Madison Pettis, Rachael Leigh Cook, Peyton Meyer, Matthew Lillard"
No Man of God,"Amber Sealey (director); C. Robert Cargill (screenplay); Elijah Wood, Luke Kirby, Aleksa Palladino, Robert Patrick"
Rushed,"Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay), Siobhan Fallon Hogan, Robert Patrick, Jake Weary, Peri Gilpin"
Afterlife of the Party,"Stephen Herek (director); Carrie Freedle (screenplay); Victoria Justice, Midori Francis, Timothy Renouf, Adam Garcia, Gloria Garcia, Spencer Sutherland"
Shang-Chi and the Legend of the Ten Rings,"Destin Daniel Cretton (director/screenplay); David Callaham, Andrew Lanham (screenplay); Simu Liu, Awkwafina, Meng'er Zhang, Fala Chen, Florian Munteanu, Benedict Wong, Michelle Yeoh, Ben Kingsley, Tony Leung"
Cinderella,"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter"
Worth,"Sara Colangelo (director); Max Borenstein (screenplay); Michael Keaton, Stanley Tucci, Amy Ryan, Tate Donovan, Shunori Ramanathan, Laura Benanti, Marc Maron"
The Gateway,"Michele Civetta (director/screenplay); Alexander Felix Bendaña, Andrew Levitas (screenplay); Shea Whigham, Olivia Munn, Frank Grillo, Bruce Dern, Keith David"
Wild Indian,"Lyle Mitcell Corbine, Jr. (director/screenplay); Michael Greyeyes, Chaske Spencer, Jesse Eisenberg, Kate Bosworth"
We Need to Do Something,"Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick, Vinessa Shaw, Pat Healy, Ozzy Osbourne"
Kate,"Cedric Nicolas-Troyan (director); Umair Aleem (screenplay); Mary Elizabeth Winstead, Miku Martineau, Woody Harrelson, Tadanobu Asano, Michiel Huisman, Miyavi, Jun Kunimura"
Everybody's Talking About Jamie,"Jonathan Butterell (director); Tom MacRae (screenplay); Max Harwood, Sarah Lancashire, Lauren Patel, Shobna Gulati, Ralph Ineson, Adeel Akhtar, Samuel Bottomley, Sharon Horgan, Richard E. Grant"
